1|Setswana ke puo e e buiwang ke Batswana ba le bantsi mo Botswana le kwa Afrika Borwa.
2|Batswana ba nale ngwao e e humileng e e akaretsang dipina, metshameko le mekete.
3|Thuto ya Setswana e akaretsa mopeleto, bokao jwa mafoko, le sekao sa puo.
4|Matshelo a Batswana a ne a dirwa mo dikgaolong tse di farologaneng.
5|Temothuo ke karolo e kgolo ya botshelo jwa Setswana, e akaretsa go lema mmidi le mabele.
6|Dikgosi di ne di le botlhokwa mo tsamaisong ya lefatshe mo Setswana.
7|Dipina tsa setso tsa Setswana di dirisiwa mo meketeng ya bogosi le nyalano.
8|Puo ya Setswana e na le dithanolo tse di farologaneng tse di diriswang mo dikgaolong tse di farologaneng.
9|Mo dikoleng, Setswana se rutwa jaaka e le puo ya bobedi kgotsa ya ntlha.
10|Kgang ya bogosi e ne e le botlhokwa mo tsamaisong ya setso sa Batswana.
